"Stotelės Nr.","Pavadinimas","Lng","Lat"
"2302","Mildos st.","25.34376","54.69147"
"2303","Viršupis","25.34496","54.69615"
"2304","Šilo st.","25.34933","54.70009"
"2305","Lyglaukiai","25.35381","54.70237"
"2306","Viadukas","25.3492","54.69397"
"2307","Viadukas","25.34898","54.69301"
"2308","Girininkija","25.36363","54.69439"
"2309","Girininkija","25.36486","54.69459"
"2310","Kučkuriškės","25.36955","54.69581"
"2311","Kučkuriškės","25.36901","54.69551"
"2312","Pūčkorių atodanga","25.35951","54.69193"
"2313","Pūčkorių atodanga","25.3601","54.69159"
"2314","Pūčkoriai","25.36641","54.69145"
"2315","Pūčkoriai","25.3673","54.69112"
"2316","Stepono Batoro st.","25.37802","54.69317"
"2317","Stepono Batoro st.","25.37896","54.69312"
"2318","Užtvankos st.","25.38105","54.6967"
"2319","Užtvankos st.","25.38113","54.6965"
"2320","Širšių st.","25.38774","54.69566"
"2321","Širšių st.","25.3893","54.69561"
"2322","Alberto Kojelavičiaus st.","25.3957","54.69516"
"2323","Alberto Kojelavičiaus st.","25.39674","54.69465"
"2324","Alberto Kojelavičiaus st.","25.39844","54.69631"
"2325","Uosių st.","25.40122","54.69903"
"2326","Uosių st.","25.40195","54.69939"
"2327","Uosių st.","25.40141","54.69943"
"2328","Paparčių st.","25.39411","54.70163"
"2329","Paparčių st.","25.39462","54.70157"
"2330","Kalno st.","25.39286","54.70476"
"2331","Palydovo st.","25.40844","54.701"
"2332","Palydovo st.","25.40998","54.70112"
"2333","Pupojų st.","25.4131","54.70183"
"2334","Pupojų st.","25.41411","54.70272"
"2335","Šiaurės st.","25.41716","54.70863"
"2336","Šiaurės st.","25.41681","54.70929"
"2337","Jankos Kupalos st.","25.4014","54.69445"
"2338","Jankos Kupalos st.","25.40168","54.69432"
"2339","Dūmų st.","25.40036","54.69318"
"2340","Dūmų st.","25.40137","54.69318"
"2341","Lelijų st.","25.40104","54.68973"
"2342","Lelijų st.","25.40021","54.68949"
"2343","Ievų st.","25.40698","54.6943"
"2344","Ievų st.","25.40838","54.69433"
"2345","Tremtinių st.","25.40981","54.6929"
"2346","Tremtinių st.","25.41063","54.6926"
"2347","Tremtinių st.","25.41141","54.6931"
"2348","Genių st.","25.41255","54.68827"
"2349","Genių st.","25.41324","54.68798"
"2350","Grigaičiai","25.41215","54.68156"
"2351","Grigaičiai","25.41263","54.68198"
"2352","Respublikinė psichiatrijos ligoninė","25.41868","54.68594"
"2353","Respublikinė psichiatrijos ligoninė","25.41933","54.68563"
"2354","Parko st.","25.42449","54.68561"
"2355","Parko st.","25.4261","54.6855"
"2356","Naujosios Vilnios žiedas","25.42811","54.68558"
"2357","Naujosios Vilnios žiedas","25.42996","54.68593"
"2358","Rytų st.","25.43274","54.68956"
"2359","Rytų st.","25.43374","54.69044"
"2360","Gandrų st.","25.41434","54.69521"
"2361","Gandrų st.","25.41467","54.69516"
